Make,Model,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,,Total Sales
Chevrolet,Spark EV, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,27,130,232,310,376,463,539,632,703,811,908,"1,090","1,175","1,303","1,383","1,434","1,492","1,553","1,684","1,770","1,889","2,040","2,960","3,243","3,469","3,526","3,661","3,818","3,995","4,161","4,313","4,452","4,668","4,920","5,339","5,733","6,092","6,425","6,717","7,032","7,292","7,331","7,348","7,352","7,356","7,359","7,360","7,360","7,361","7,362","7,362","7,362","7,362","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369","7,369",,"393,629"
Smart,ED, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2,2,2,62,115,173,355,492,603,756,923,"1,020","1,142","1,328","1,531","1,737","2,015","2,313","2,521","2,703","2,853","3,166","3,517","3,664","3,740","3,843","3,967","4,069","4,163","4,272","4,378","4,472","4,547","4,725","4,904","4,952","5,006","5,076","5,142","5,217","5,270","5,332","5,387","5,431","5,474","5,521","5,561","5,576","5,598","5,611","5,614","5,615","5,618","5,618","5,712","5,835","5,908","5,976","6,105","6,189","6,279","6,382","6,462","6,572","6,698","6,801","6,909","7,007","7,102","7,202","7,324","7,407","7,465","7,555","7,640","7,746",782,"7,876",795,"8,004","8,004","8,004","8,004",,"372,441"
Audi,A3 Sprtbk e-tron, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,49,376,619,951,"1,277","1,638","1,991","2,340","2,686","2,998","3,346","3,740","4,329","4,716","5,116","5,530","5,831","6,125","6,449","6,667","6,796","6,881","6,898","6,936","7,206","7,351","7,550","7,764","7,953","8,220","8,458","8,678","8,918","9,148","9,358","9,538","9,803","9,978","10,188","10,233","10,240","10,240","10,240","10,240","10,240","10,240","10,240","10,240","10,240",,"326,789"
BMW,530e, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,13,160,399,742,"1,087","1,598","2,194","3,066","3,772","3,996","4,409","5,098","5,616","6,345","7,287","7,823","8,572","9,328","10,061","11,073","12,436","12,812","13,226","13,662","14,078","14,805","15,713","16,157","16,763","17,073","17,378","17,799","18,298",,"292,839"
BMW,i8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,67,271,397,555,640,753,896,"1,034","1,151","1,288","1,505","1,715","1,897","2,046","2,164","2,820","2,852","2,906","2,995","3,125","3,271","3,440","3,606","3,751","3,909","4,108","4,281","4,414","4,464","4,522","4,571","4,594","4,612","4,634","4,689","4,718","4,745","4,778","4,822","4,902","4,934","4,973","5,020","5,077","5,141","5,186","5,258","5,325","5,380","5,444","5,577","5,674","5,697","5,744","5,835","5,922","6,067","6,347","6,448","6,538","6,606",667,"6,725","6,776",,"250,278"
Chrysler,Pacifica Hybrid, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12,12,12,347,"1,052","1,407","1,532","1,957","2,432","3,307","3,877","4,597","4,972","5,422","5,902","6,327","6,977","7,687","8,137","8,791","9,428","10,051","10,946","11,659","12,095","12,684","13,067","13,414","13,804","14,195","1,458","14,975","1,539","1,599","1,659","17,382",,"234,714"
Kia,Soul EV, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,109,249,359,428,476,539,612,720,829,888,981,"1,086","1,195","1,278","1,374","1,455","1,515","1,594","1,733","1,853","1,987","2,166","2,319","2,536","2,726","2,905","3,102","3,219","3,371","3,542","3,709","3,838","3,938","4,083","4,383","4,638","4,848","5,055","5,259","5,374","5,537","5,694","5,846","5,979","6,036","6,166","6,199","6,217","6,278","6,339","6,393","6,393","6,394","6,396","6,396","6,397","6,397","6,398","6,406","6,471","6,476","6,479",648,,"230,206"
Hyundai,Sonata PHEV, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,15,160,335,535,810,"1,060","1,295","1,520","1,895","2,130","2,390","2,645","2,930","3,255","3,445","3,620","3,915","4,195","4,415","4,670","4,875","5,060","5,250","5,460","5,595","5,790","5,842","5,896","5,974","6,012","6,079","6,141","6,201","6,221","6,236","6,241","6,246","6,250","6,254","6,325","6,332","6,378","6,418","6,448","6,483","6,523","6,568","6,614","6,659","6,713",,"228,319"
Mercedes,B-Class ED, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,41,92,157,255,448,774,"1,014","1,123","1,268","1,426","1,704","1,946","2,142","2,314","2,461","2,542","2,583","2,680","2,738","2,775","2,841","2,897","2,946","2,990","3,040","3,097","3,148","3,206","3,258","3,312","3,365","3,421","3,471","3,537","3,583","3,629","3,710","3,768","3,855","3,914","3,945","4,056","4,096","4,145","4,178","4,185","4,188","4,188","4,188","4,189","4,189","4,190","4,190","4,191","4,192","4,194","4,194","4,195","4,195","4,197","4,198","4,199","4,199","4,200","4,200","4,200",,"205,952"
Porsche,Cayenne S-E, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,45,100,166,237,309,397,502,590,667,750,820,945,"1,066","1,203","1,349","1,521","1,765","2,002","2,193","2,369","2,517","2,714","2,845","2,983","3,162","3,314","3,491","3,612","3,738","3,923","4,097","4,292","4,452","4,630","4,754","4,827","4,865","4,888","5,001","5,122","5,319","5,584","5,643","5,655","5,670","5,715","5,775","5,800","5,835","5,910","5,975","6,070","6,185","6,255",636,"6,435",653,663,"6,735","6,835",694,75,,"202,340"
